clean_name,target_account_name
JIO RECHARGE,Utilities
AIRTEL RECHARGE,Utilities
VODAFONE VI,Utilities
BSNL RECHARGE,Utilities
TATA SKY,Utilities
DISH TV,Utilities
DTH RECHARGE,Utilities
BROADBAND BILL,Utilities
INTERNET BILL,Utilities
JIO FIBER,Utilities
AIRTEL FIBER,Utilities
GAS BILL,Utilities
MAHANAGAR GAS,Utilities
IGL PAYMENT,Utilities
BBPS ELECTRICITY,Utilities
BBPS WATER,Utilities
TNEB BILL,Utilities
CESC BILL,Utilities
PREPAID METER,Utilities
UTILITY PAYMENT,Utilities
PHONE BILL,Utilities
CABLE TV,Utilities
NYKAA,Personal Care
MYNTRA,Personal Care
PURPLLE,Personal Care
MAMAEARTH,Personal Care
SALON PAYMENT,Personal Care
HAIRCUT,Personal Care
SPA PAYMENT,Personal Care
BEAUTY PARLOUR,Personal Care
FOREST ESSENTIALS,Personal Care
HEALTH AND GLOW,Personal Care
LAKMÉ,Personal Care
HIMALAYA,Personal Care
GROOMING,Personal Care
BODYCARE,Personal Care
SKINCARE PURCHASE,Personal Care
LENSKART,Personal Care
CULT FIT,Personal Care
GYM FEES,Personal Care
FITNESS MEMBERSHIP,Personal Care
HEALTHIFY ME,Personal Care
WAXING SALON,Personal Care
BEAUTY SALON,Personal Care
PERSONAL HYGIENE,Personal Care
PEDICURE SALON,Personal Care
UPI/NYKAA,Personal Care
UPI/MYNTRA,Personal Care
COSMETICS PURCHASE,Personal Care
WELLNESS CENTRE,Personal Care
SALARY CREDIT,Base Salary
MONTHLY SALARY,Base Salary
NEFT SALARY,Base Salary
SALARY TRANSFER,Base Salary
PAYROLL CREDIT,Base Salary
EMPLOYER CREDIT,Base Salary
WAGE CREDIT,Base Salary
SALARY DISBURSEMENT,Base Salary
IMPS SALARY,Base Salary
HR PAYROLL,Base Salary
DIRECT DEPOSIT,Base Salary
SALARY INWARD,Base Salary
CTC CREDIT,Base Salary
MONTHLY WAGES,Base Salary
BASIC SALARY,Base Salary
SALARY@NEFT,Base Salary
COMPANY SALARY,Base Salary
EMPLOYER TRANSFER,Base Salary
STAFF SALARY,Base Salary
PAY CREDIT,Base Salary
NACH SALARY,Base Salary
ECS SALARY,Base Salary
SALARY FROM EMPLOYER,Base Salary
TAKE HOME PAY,Base Salary
BONUS CREDIT,Bonus & Incentives
PERFORMANCE BONUS,Bonus & Incentives
INCENTIVE CREDIT,Bonus & Incentives
ANNUAL BONUS,Bonus & Incentives
DIWALI BONUS,Bonus & Incentives
FESTIVAL BONUS,Bonus & Incentives
VARIABLE PAY,Bonus & Incentives
QUARTERLY BONUS,Bonus & Incentives
EX-GRATIA,Bonus & Incentives
JOINING BONUS,Bonus & Incentives
SIGN ON BONUS,Bonus & Incentives
SALES INCENTIVE,Bonus & Incentives
TARGET BONUS,Bonus & Incentives
APPRAISAL BONUS,Bonus & Incentives
RETENTION BONUS,Bonus & Incentives
SPOT BONUS,Bonus & Incentives
HALF YEARLY BONUS,Bonus & Incentives
YEAR END BONUS,Bonus & Incentives
NEFT BONUS,Bonus & Incentives
PLI BONUS,Bonus & Incentives
OVERTIME CREDIT,Overtime Pay
OT PAYMENT,Overtime Pay
EXTRA HOURS PAY,Overtime Pay
OVERTIME WAGE,Overtime Pay
OT ALLOWANCE,Overtime Pay
SHIFT ALLOWANCE,Overtime Pay
WEEKEND OVERTIME,Overtime Pay
HOLIDAY PAY,Overtime Pay
NEFT OT CREDIT,Overtime Pay
OVERTIME TRANSFER,Overtime Pay
EXTRA SHIFT PAY,Overtime Pay
OT CREDIT,Overtime Pay
EXTENDED HOURS PAY,Overtime Pay
OT SALARY,Overtime Pay
ADDITIONAL HOURS,Overtime Pay
OVERTIME NEFT,Overtime Pay
OVERTIME IMPS,Overtime Pay
SHIFT OVERTIME,Overtime Pay
SPECIAL DUTY PAY,Overtime Pay
NIGHTSHIFT PAY,Overtime Pay
TDS DEDUCTION,Income Tax (TDS)
INCOME TAX DEBIT,Income Tax (TDS)
TDS PAYMENT,Income Tax (TDS)
ADVANCE TAX,Income Tax (TDS)
INCOME TAX CHALLAN,Income Tax (TDS)
TAX PAYMENT,Income Tax (TDS)
NSDL TAX,Income Tax (TDS)
OLTAS PAYMENT,Income Tax (TDS)
SELF ASSESSMENT TAX,Income Tax (TDS)
INCOME TAX DEPT,Income Tax (TDS)
CHALLAN 280,Income Tax (TDS)
TDS ON SALARY,Income Tax (TDS)
DIRECT TAX PAYMENT,Income Tax (TDS)
ITNS 280,Income Tax (TDS)
IT PAYMENT,Income Tax (TDS)
INCOME TAX REFUND,Income Tax (TDS)
TDS CHALLAN,Income Tax (TDS)
TAX DEDUCTED SOURCE,Income Tax (TDS)
INCOME TAX ONLINE,Income Tax (TDS)
ADVANCE INCOME TAX,Income Tax (TDS)
IT ADVANCE TAX,Income Tax (TDS)
TDS DEDUCTED,Income Tax (TDS)
I-T DEPT PAYMENT,Income Tax (TDS)
INCOME TAX PAID,Income Tax (TDS)
PROFESSIONAL TAX,Professional Tax
PT DEDUCTION,Professional Tax
PTAX DEDUCTION,Professional Tax
PT PAYMENT,Professional Tax
STATE TAX DEBIT,Professional Tax
PROF TAX,Professional Tax
KARNATAKA PT,Professional Tax
MAHARASHTRA PT,Professional Tax
EMPLOYMENT TAX,Professional Tax
PT CHALLAN,Professional Tax
PROFESSION TAX,Professional Tax
PTAX CHALLAN,Professional Tax
PT DEDUCTED,Professional Tax
PROFESSIONAL TAX NEFT,Professional Tax
GOVT PT PAYMENT,Professional Tax
PTAX STATE,Professional Tax
PT STATE GOVT,Professional Tax
STATE PROFESSIONAL TAX,Professional Tax
MUNICIPAL PROF TAX,Professional Tax
PT ONLINE,Professional Tax
EPF DEDUCTION,Employee Provident Fund (EPF)
PF CONTRIBUTION,Employee Provident Fund (EPF)
EPFO CREDIT,Employee Provident Fund (EPF)
PF TRANSFER,Employee Provident Fund (EPF)
PROVIDENT FUND,Employee Provident Fund (EPF)
EPF PAYMENT,Employee Provident Fund (EPF)
EMPLOYEES PF,Employee Provident Fund (EPF)
UAN TRANSFER,Employee Provident Fund (EPF)
EPFO PAYMENT,Employee Provident Fund (EPF)
PF WITHDRAWAL,Employee Provident Fund (EPF)
EPF WITHDRAWAL,Employee Provident Fund (EPF)
EPFO SETTLEMENT,Employee Provident Fund (EPF)
PF SETTLEMENT,Employee Provident Fund (EPF)
EPF FINAL SETTLEMENT,Employee Provident Fund (EPF)
EPFO NEFT,Employee Provident Fund (EPF)
UAN CREDIT,Employee Provident Fund (EPF)
NACH PF DEDUCTION,Employee Provident Fund (EPF)
ECS PF,Employee Provident Fund (EPF)
EPF ADVANCE,Employee Provident Fund (EPF)
EPFO CLAIM,Employee Provident Fund (EPF)
PF BALANCE CREDIT,Employee Provident Fund (EPF)
EPF CORPUS,Employee Provident Fund (EPF)
EMPLOYEES PROVIDENT FUND,Employee Provident Fund (EPF)
PF MONTHLY,Employee Provident Fund (EPF)
VPF CONTRIBUTION,Voluntary Provident Fund (VPF)
VOLUNTARY PF,Voluntary Provident Fund (VPF)
VPF DEDUCTION,Voluntary Provident Fund (VPF)
EXTRA PF,Voluntary Provident Fund (VPF)
VPF TRANSFER,Voluntary Provident Fund (VPF)
VOLUNTARY PROVIDENT,Voluntary Provident Fund (VPF)
VPF MONTHLY,Voluntary Provident Fund (VPF)
ADDED PF,Voluntary Provident Fund (VPF)
ADDITIONAL PF,Voluntary Provident Fund (VPF)
VPF CREDIT,Voluntary Provident Fund (VPF)
VPF DEBIT,Voluntary Provident Fund (VPF)
TOPUP PF,Voluntary Provident Fund (VPF)
VOLUNTARY EPF,Voluntary Provident Fund (VPF)
VPF EPFO,Voluntary Provident Fund (VPF)
VOLUNTARY FUND,Voluntary Provident Fund (VPF)
ENHANCED PF,Voluntary Provident Fund (VPF)
VPF EMPLOYEE,Voluntary Provident Fund (VPF)
VPF CORPUS,Voluntary Provident Fund (VPF)
VPF NEFT,Voluntary Provident Fund (VPF)
PF VOLUNTARY,Voluntary Provident Fund (VPF)
LINKEDIN PREMIUM,Work-related Subscriptions
ZOOM PRO,Work-related Subscriptions
MICROSOFT 365,Work-related Subscriptions
SLACK PREMIUM,Work-related Subscriptions
GITHUB PRO,Work-related Subscriptions
JETBRAINS,Work-related Subscriptions
FIGMA SUBSCRIPTION,Work-related Subscriptions
NOTION PREMIUM,Work-related Subscriptions
ATLASSIAN JIRA,Work-related Subscriptions
PROFESSIONAL SUBSCRIPTION,Work-related Subscriptions
WORK TOOLS,Work-related Subscriptions
GOOGLE WORKSPACE,Work-related Subscriptions
OFFICE 365,Work-related Subscriptions
ADOBE ACROBAT,Work-related Subscriptions
DROPBOX WORK,Work-related Subscriptions
MIRO SUBSCRIPTION,Work-related Subscriptions
TRELLO PREMIUM,Work-related Subscriptions
ASANA WORK,Work-related Subscriptions
WORK SAAS,Work-related Subscriptions
MONDAY.COM WORK,Work-related Subscriptions
CONFLUENCE SUB,Work-related Subscriptions
PROFESSIONAL TOOL SUB,Work-related Subscriptions
WORK PLATFORM FEE,Work-related Subscriptions
WEBEX PLAN,Work-related Subscriptions
CONSULTING RECEIPT,Service Income
CLIENT PAYMENT NEFT,Service Income
SERVICE CHARGE CREDIT,Service Income
PROJECT PAYMENT,Service Income
INVOICE RECEIPT,Service Income
PROFESSIONAL SERVICES CREDIT,Service Income
NEFT FROM CLIENT,Service Income
IMPS CLIENT PAYMENT,Service Income
SERVICE FEE CREDIT,Service Income
ADVISORY RECEIPT,Service Income
CLIENT CREDIT,Service Income
SERVICE REVENUE NEFT,Service Income
PAYMENT FOR SERVICES,Service Income
CONSULTING INCOME,Service Income
BILLABLE SERVICES,Service Income
CLIENT TRANSFER,Service Income
SERVICE INVOICE PAID,Service Income
PROFESSIONAL RECEIPT,Service Income
CONSULTING FEE INWARD,Service Income
B2B SERVICE PAYMENT,Service Income
SERVICE DELIVERY PAYMENT,Service Income
MANAGED SERVICES INCOME,Service Income
IT SERVICES PAYMENT,Service Income
SERVICE CONTRACT RECEIPT,Service Income
SALES RECEIPT,Product Sales
PRODUCT PAYMENT,Product Sales
CUSTOMER PAYMENT,Product Sales
SALE PROCEEDS,Product Sales
SHOPIFY PAYOUT,Product Sales
AMAZON SELLER CREDIT,Product Sales
FLIPKART SELLER,Product Sales
MEESHO PAYOUT,Product Sales
E-COMMERCE RECEIPT,Product Sales
ONLINE SALES,Product Sales
INDIAMART ORDER,Product Sales
RETAIL SALE,Product Sales
GOODS SOLD,Product Sales
PRODUCT INVOICE PAID,Product Sales
SALES INCOME,Product Sales
ITEM SOLD,Product Sales
CASH SALE,Product Sales
POS SALE,Product Sales
STORE SALE,Product Sales
PRODUCT DISPATCH PAYMENT,Product Sales
TRADE SALE,Product Sales
DISTRIBUTOR PAYMENT,Product Sales
WHOLESALE INCOME,Product Sales
MARKET SALE,Product Sales
COGS PAYMENT,Cost of Goods Sold (COGS)
GOODS COST,Cost of Goods Sold (COGS)
MANUFACTURING COST,Cost of Goods Sold (COGS)
PRODUCTION COST,Cost of Goods Sold (COGS)
COST OF GOODS,Cost of Goods Sold (COGS)
DIRECT COST,Cost of Goods Sold (COGS)
FACTORY COST,Cost of Goods Sold (COGS)
MATERIAL COGS,Cost of Goods Sold (COGS)
COST OF SALE,Cost of Goods Sold (COGS)
PURCHASE COST,Cost of Goods Sold (COGS)
GOODS PURCHASED,Cost of Goods Sold (COGS)
RAW MATERIAL COGS,Cost of Goods Sold (COGS)
PRODUCTION MATERIAL,Cost of Goods Sold (COGS)
GOODS COST DEBIT,Cost of Goods Sold (COGS)
UNIT COST,Cost of Goods Sold (COGS)
PRODUCT COST,Cost of Goods Sold (COGS)
FINISHED GOODS COST,Cost of Goods Sold (COGS)
BILL OF MATERIALS,Cost of Goods Sold (COGS)
DIRECT PRODUCTION COST,Cost of Goods Sold (COGS)
COGS DEBIT,Cost of Goods Sold (COGS)
RAW MATERIAL PURCHASE,Direct Material Costs
MATERIAL COST,Direct Material Costs
SUPPLIER PAYMENT,Direct Material Costs
VENDOR PAYMENT,Direct Material Costs
PURCHASE OF GOODS,Direct Material Costs
STOCK PURCHASE,Direct Material Costs
MATERIAL PROCUREMENT,Direct Material Costs
FACTORY SUPPLIES,Direct Material Costs
INDIAMART PURCHASE,Direct Material Costs
TRADEINDIA PURCHASE,Direct Material Costs
RAW STOCK BUY,Direct Material Costs
DIRECT MATERIAL,Direct Material Costs
COMPONENT PURCHASE,Direct Material Costs
SPARE PARTS BUY,Direct Material Costs
PRODUCTION INPUT,Direct Material Costs
MATERIAL VENDOR,Direct Material Costs
STEEL PURCHASE,Direct Material Costs
FABRIC PURCHASE,Direct Material Costs
CHEMICAL PURCHASE,Direct Material Costs
PARTS PROCUREMENT,Direct Material Costs
INPUT MATERIAL,Direct Material Costs
SUBASSEMBLY PURCHASE,Direct Material Costs
MANUFACTURING INPUT,Direct Material Costs
PRODUCTION VENDOR,Direct Material Costs
SHIPROCKET,Shipping & Freight
DELHIVERY,Shipping & Freight
BLUEDART,Shipping & Freight
DTDC COURIER,Shipping & Freight
ECOM EXPRESS,Shipping & Freight
FREIGHT CHARGES,Shipping & Freight
COURIER CHARGES,Shipping & Freight
LOGISTICS PAYMENT,Shipping & Freight
SHIPPING COST,Shipping & Freight
FEDEX INDIA,Shipping & Freight
DHL INDIA,Shipping & Freight
XPRESSBEES,Shipping & Freight
AMAZON LOGISTICS,Shipping & Freight
LAST MILE DELIVERY,Shipping & Freight
DISPATCH CHARGES,Shipping & Freight
TRANSPORT VENDOR,Shipping & Freight
CARGO CHARGES,Shipping & Freight
COURIER PARTNER,Shipping & Freight
DELIVERY CHARGES,Shipping & Freight
EKART LOGISTICS,Shipping & Freight
SHADOWFAX,Shipping & Freight
SMARTSHIP,Shipping & Freight
PACKING FREIGHT,Shipping & Freight
OUTWARD FREIGHT,Shipping & Freight
GOOGLE ADS,Marketing & Advertising
META ADS,Marketing & Advertising
FACEBOOK ADS,Marketing & Advertising
INSTAGRAM ADS,Marketing & Advertising
YOUTUBE ADS,Marketing & Advertising
DIGITAL MARKETING,Marketing & Advertising
GOOGLE ADWORDS,Marketing & Advertising
INFLUENCER PAYMENT,Marketing & Advertising
PR AGENCY,Marketing & Advertising
PRINT ADVERTISING,Marketing & Advertising
JUSTDIAL ADS,Marketing & Advertising
INDIAMART SUBSCRIPTION,Marketing & Advertising
ADVERTISING SPEND,Marketing & Advertising
MARKETING AGENCY,Marketing & Advertising
SEO SERVICES,Marketing & Advertising
CONTENT MARKETING,Marketing & Advertising
BRAND PROMOTION,Marketing & Advertising
AD CAMPAIGN,Marketing & Advertising
HOARDING CHARGES,Marketing & Advertising
RADIO ADS,Marketing & Advertising
SMS MARKETING,Marketing & Advertising
EMAIL MARKETING,Marketing & Advertising
PROMOTIONAL SPEND,Marketing & Advertising
MEDIA BUYING,Marketing & Advertising
ZOHO SUBSCRIPTION,Software & SaaS Subscriptions
FRESHWORKS,Software & SaaS Subscriptions
TALLY SUBSCRIPTION,Software & SaaS Subscriptions
QUICKBOOKS,Software & SaaS Subscriptions
AWS SUBSCRIPTION,Software & SaaS Subscriptions
AZURE CLOUD,Software & SaaS Subscriptions
SALESFORCE,Software & SaaS Subscriptions
HUBSPOT,Software & SaaS Subscriptions
ZENDESK SUBSCRIPTION,Software & SaaS Subscriptions
SAAS PAYMENT,Software & SaaS Subscriptions
CLOUD SUBSCRIPTION,Software & SaaS Subscriptions
SOFTWARE LICENSE,Software & SaaS Subscriptions
ERP SUBSCRIPTION,Software & SaaS Subscriptions
CRM SUBSCRIPTION,Software & SaaS Subscriptions
ACCOUNTING SOFTWARE,Software & SaaS Subscriptions
BILLING SOFTWARE,Software & SaaS Subscriptions
SAP SUBSCRIPTION,Software & SaaS Subscriptions
ORACLE CLOUD,Software & SaaS Subscriptions
FRESHDESK,Software & SaaS Subscriptions
RAZORPAY DASHBOARD,Software & SaaS Subscriptions
MIXPANEL,Software & SaaS Subscriptions
SEGMENT SUB,Software & SaaS Subscriptions
INTERCOM FEES,Software & SaaS Subscriptions
CHARGEBEE FEES,Software & SaaS Subscriptions
BUSINESS TRIP,Business Travel & Meals
CORPORATE TRAVEL,Business Travel & Meals
CLIENT DINNER,Business Travel & Meals
BUSINESS MEAL,Business Travel & Meals
CONFERENCE TRAVEL,Business Travel & Meals
HOTEL STAY BUSINESS,Business Travel & Meals
FLIGHT BUSINESS,Business Travel & Meals
CLIENT ENTERTAINMENT,Business Travel & Meals
BUSINESS LUNCH,Business Travel & Meals
IRCTC BUSINESS,Business Travel & Meals
CORPORATE FLIGHT,Business Travel & Meals
BUSINESS HOTEL,Business Travel & Meals
TEAM DINNER,Business Travel & Meals
BUSINESS CLASS TICKET,Business Travel & Meals
CORPORATE HOTEL,Business Travel & Meals
CLIENT MEETING MEAL,Business Travel & Meals
CONFERENCE STAY,Business Travel & Meals
BOARDROOM LUNCH,Business Travel & Meals
SALES TRIP,Business Travel & Meals
TRADE SHOW TRAVEL,Business Travel & Meals
TEAM OFFSITE,Business Travel & Meals
OFFSITE TRAVEL,Business Travel & Meals
CLIENT VISIT TRAVEL,Business Travel & Meals
CORP FLIGHT BOOKING,Business Travel & Meals
OFFICE RENT,Office Rent & Utilities
COMMERCIAL RENT,Office Rent & Utilities
COWORKING SPACE,Office Rent & Utilities
WEWORK PAYMENT,Office Rent & Utilities
OFFICE ELECTRICITY,Office Rent & Utilities
BUSINESS UTILITIES,Office Rent & Utilities
COWRKS,Office Rent & Utilities
AWFIS PAYMENT,Office Rent & Utilities
91SPRINGBOARD,Office Rent & Utilities
OFFICE MAINTENANCE,Office Rent & Utilities
COMMERCIAL LEASE,Office Rent & Utilities
OFFICE POWER BILL,Office Rent & Utilities
BUSINESS INTERNET,Office Rent & Utilities
OFFICE BROADBAND,Office Rent & Utilities
COMMERCIAL WATER,Office Rent & Utilities
SHOP RENT,Office Rent & Utilities
GOOFFICE,Office Rent & Utilities
INNOV8 COWORK,Office Rent & Utilities
SMARTWORKS,Office Rent & Utilities
TRADE OFFICE RENT,Office Rent & Utilities
COMMERCIAL PREMISES,Office Rent & Utilities
FACTORY RENT,Office Rent & Utilities
WAREHOUSE RENT,Office Rent & Utilities
BUSINESS PREMISE,Office Rent & Utilities
GST PAYMENT,GST/VAT Payable
GST CHALLAN,GST/VAT Payable
GSTN PAYMENT,GST/VAT Payable
IGST PAYMENT,GST/VAT Payable
CGST SGST PAYMENT,GST/VAT Payable
GST RETURN PAYMENT,GST/VAT Payable
PMT-06,GST/VAT Payable
GST PORTAL,GST/VAT Payable
COMMERCIAL TAX,GST/VAT Payable
GST NEFT,GST/VAT Payable
GSTIN PAYMENT,GST/VAT Payable
VAT PAYMENT,GST/VAT Payable
GST OUTWARD,GST/VAT Payable
GST DEBIT,GST/VAT Payable
INDIRECT TAX PAYMENT,GST/VAT Payable
GSTN PORTAL,GST/VAT Payable
INTEGRATED GST,GST/VAT Payable
STATE GST,GST/VAT Payable
CENTRAL GST,GST/VAT Payable
GST QUARTERLY,GST/VAT Payable
GST MONTHLY,GST/VAT Payable
GST ANNUAL,GST/VAT Payable
GST COMPLIANCE,GST/VAT Payable
GST REMITTANCE,GST/VAT Payable
BUSINESS LOAN EMI,Business Loan/Credit Line
LOAN EMI,Business Loan/Credit Line
CC LIMIT USAGE,Business Loan/Credit Line
OVERDRAFT USAGE,Business Loan/Credit Line
WORKING CAPITAL LOAN,Business Loan/Credit Line
OD ACCOUNT,Business Loan/Credit Line
BUSINESS CREDIT,Business Loan/Credit Line
LOAN REPAYMENT,Business Loan/Credit Line
NACH LOAN EMI,Business Loan/Credit Line
CREDIT LINE DEBIT,Business Loan/Credit Line
WC LOAN EMI,Business Loan/Credit Line
OD INTEREST,Business Loan/Credit Line
CC REPAYMENT,Business Loan/Credit Line
CASH CREDIT,Business Loan/Credit Line
WORKING CAPITAL DEBIT,Business Loan/Credit Line
BUSINESS OD,Business Loan/Credit Line
MSME LOAN EMI,Business Loan/Credit Line
MUDRA LOAN EMI,Business Loan/Credit Line
CURRENT OD,Business Loan/Credit Line
TRADE CREDIT,Business Loan/Credit Line
INVOICE FINANCING,Business Loan/Credit Line
FACTORING DEBIT,Business Loan/Credit Line
TERM LOAN REPAY,Business Loan/Credit Line
BUSINESS EMI,Business Loan/Credit Line
INVENTORY PURCHASE,Inventory
WAREHOUSE PURCHASE,Inventory
GOODS IN STOCK,Inventory
MERCHANDISE PURCHASE,Inventory
STOCK RECEIPT,Inventory
INVENTORY PAYMENT,Inventory
STOCK REPLENISHMENT,Inventory
TRADING GOODS,Inventory
INVENTORY CREDIT,Inventory
FINISHED GOODS,Inventory
WIP INVENTORY,Inventory
SEMI FINISHED STOCK,Inventory
GOODS FOR RESALE,Inventory
RETAIL STOCK,Inventory
BULK PURCHASE,Inventory
STOCK PROCUREMENT,Inventory
INVENTORY BUILD,Inventory
RAW STOCK,Inventory
BUFFER STOCK,Inventory
SAFETY STOCK PURCHASE,Inventory
SEASONAL STOCK,Inventory
CONSIGNMENT GOODS,Inventory
ADVISORY FEES CREDIT,Consultation Fees
CONSULTATION CREDIT,Consultation Fees
ADVISORY INCOME,Consultation Fees
CLIENT CONSULTING,Consultation Fees
STRATEGY CONSULTING,Consultation Fees
MGMT CONSULTING,Consultation Fees
EXPERT FEES CREDIT,Consultation Fees
ADVISORY PAYMENT INWARD,Consultation Fees
CONSULT RECEIPT,Consultation Fees
PROFESSIONAL ADVICE INCOME,Consultation Fees
EXPERT CONSULTATION,Consultation Fees
CONSULTING INCOME NEFT,Consultation Fees
ADVISORY CREDIT,Consultation Fees
EXPERT ADVISORY,Consultation Fees
DOCTOR FEE INCOME,Consultation Fees
MEDICAL CONSULTATION INCOME,Consultation Fees
LEGAL ADVICE INCOME,Consultation Fees
CA CONSULTING INCOME,Consultation Fees
ARCHITECT CONSULT,Consultation Fees
VALUER FEES INCOME,Consultation Fees
CONSULT NEFT,Consultation Fees
TEACHING FEE,Teaching & Speaking Fees
LECTURE FEES,Teaching & Speaking Fees
SPEAKING FEE,Teaching & Speaking Fees
SEMINAR INCOME,Teaching & Speaking Fees
TUITION INCOME,Teaching & Speaking Fees
COACHING INCOME,Teaching & Speaking Fees
CLASS INCOME,Teaching & Speaking Fees
TRAINER FEES,Teaching & Speaking Fees
WORKSHOP FEES INCOME,Teaching & Speaking Fees
KEYNOTE FEES,Teaching & Speaking Fees
TUTORING INCOME,Teaching & Speaking Fees
FACULTY INCOME,Teaching & Speaking Fees
GUEST LECTURE FEES,Teaching & Speaking Fees
VISITING FACULTY,Teaching & Speaking Fees
ACADEMIC INCOME,Teaching & Speaking Fees
COACHING CLASS,Teaching & Speaking Fees
ONLINE COACHING,Teaching & Speaking Fees
TEACHING CREDIT,Teaching & Speaking Fees
MENTORING FEES,Teaching & Speaking Fees
EDUCATION INCOME,Teaching & Speaking Fees
CORPORATE TRAINING,Teaching & Speaking Fees
SPEAKER HONORARIUM,Teaching & Speaking Fees
WEBINAR INCOME,Teaching & Speaking Fees
TRAINING RECEIPT,Teaching & Speaking Fees
RETAINER PAYMENT,Retainers/Project Income
PROJECT FEES,Retainers/Project Income
MONTHLY RETAINER,Retainers/Project Income
CLIENT RETAINER,Retainers/Project Income
FIXED FEE PROJECT,Retainers/Project Income
RETAINER CREDIT,Retainers/Project Income
ANNUAL RETAINER,Retainers/Project Income
QUARTERLY RETAINER,Retainers/Project Income
PROJECT MILESTONE,Retainers/Project Income
DELIVERABLE PAYMENT,Retainers/Project Income
RETAINER INWARD,Retainers/Project Income
ONGOING FEES,Retainers/Project Income
RETAINER NEFT,Retainers/Project Income
PROJECT CREDIT,Retainers/Project Income
MILESTONE CREDIT,Retainers/Project Income
PHASE PAYMENT,Retainers/Project Income
PROJECT INVOICE PAID,Retainers/Project Income
LUMP SUM FEES,Retainers/Project Income
CONTRACT FEES,Retainers/Project Income
RETAINER MONTHLY,Retainers/Project Income
